f1,f2
0.4366,2.2906
0.4355,2.2963
0.4346,2.3008
0.4342,2.3033
0.4340,2.3040
0.4327,2.3111
0.4309,2.3206
0.4307,2.3220
0.4293,2.3292
0.4278,2.3374
0.4270,2.3418
0.4268,2.3430
0.4264,2.3451
0.4256,2.3497
0.4230,2.3641
0.4229,2.3648
0.4226,2.3665
0.4219,2.3703
0.4207,2.3772
0.4206,2.3776
0.4203,2.3794
0.4191,2.3863
0.4170,2.3981
0.4138,2.4165
0.4135,2.4187
0.4120,2.4274
0.4095,2.4420
0.4089,2.4453
0.4085,2.4480
0.4070,2.4572
0.4057,2.4647
0.4041,2.4744
0.4009,2.4945
0.3995,2.5028
0.3986,2.5090
0.3982,2.5113
0.3979,2.5130
0.3958,2.5263
0.3943,2.5363
0.3940,2.5378
0.3932,2.5435
0.3924,2.5483
0.3919,2.5518
0.3888,2.5717
0.3882,2.5761
0.3878,2.5789
0.3875,2.5809
0.3846,2.6004
0.3833,2.6086
0.3832,2.6099
0.3828,2.6125
0.3816,2.6207
0.3787,2.6403
0.3782,2.6440
0.3771,2.6515
0.3768,2.6540
0.3756,2.6627
0.3747,2.6686
0.3744,2.6707
0.3738,2.6749
0.3718,2.6897
0.3712,2.6939
0.3703,2.7007
0.3691,2.7092
0.3685,2.7134
0.3684,2.7144
0.3679,2.7179
0.3651,2.7393
0.3644,2.7445
0.3641,2.7464
0.3576,2.7962
0.3574,2.7981
0.3562,2.8078
0.3554,2.8135
0.3528,2.8345
0.3521,2.8403
0.3502,2.8554
0.3488,2.8668
0.3468,2.8835
0.3454,2.8951
0.3453,2.8956
0.3409,2.9333
0.3391,2.9487
0.3385,2.9545
0.3371,2.9660
0.3371,2.9668
0.3363,2.9734
0.3356,2.9795
0.3338,2.9961
0.3334,2.9994
0.3330,3.0026
0.3330,3.0033
0.3327,3.0053
0.3323,3.0097
0.3297,3.0333
0.3288,3.0413
0.3273,3.0557
0.3261,3.0665
0.3249,3.0782
0.3247,3.0795
0.3243,3.0838
0.3227,3.0989
0.3225,3.1008
0.3223,3.1026
0.3216,3.1099
0.3211,3.1144
0.3183,3.1416
0.3183,3.1416
0.3175,3.1495
0.3158,3.1662
0.3152,3.1723
0.3146,3.1791
0.3139,3.1855
0.3106,3.2194
0.3061,3.2666
0.3055,3.2728
0.3055,3.2737
0.3053,3.2750
0.3042,3.2874
0.3007,3.3259
0.3005,3.3282
0.3002,3.3310
0.2995,3.3392
0.2985,3.3498
0.2974,3.3622
0.2953,3.3869
0.2934,3.4156
0.2915,3.4301
0.2902,3.4454
0.2893,3.4561
0.2887,3.4640
0.2883,3.4689
0.2877,3.4753
0.2851,3.5080
0.2836,3.5256
0.2826,3.5382
0.2820,3.5462
0.2808,3.5608
0.2804,3.5658
0.2803,3.5676
0.2795,3.5776
0.2767,3.6137
0.2764,3.6174
0.2758,3.6258
0.2756,3.6291
0.2754,3.6315
0.2747,3.6409
0.2740,3.6491
0.2717,3.6799
0.2715,3.6836
0.2613,3.8271
0.2587,3.8654
0.2577,3.8807
0.2574,3.8856
0.2548,3.9252
0.2537,3.9423
0.2536,3.9438
0.2533,3.9483
0.2530,3.9528
0.2527,3.9573
0.2516,3.9741
0.2495,4.0080
0.2485,4.0239
0.2477,4.0365
0.2476,4.0380
0.2436,4.1055
0.2428,4.1178
0.2416,4.1398
0.2414,4.1432
0.2409,4.1517
0.2401,4.1647
0.2392,4.1814
0.2386,4.1914
0.2369,4.2209
0.2359,4.2385
0.2353,4.2498
0.2306,4.3356
0.2304,4.3406
0.2273,4.3999
0.2250,4.4448
0.2211,4.5236
0.2202,4.5419
0.2197,4.5511
0.2197,4.5512
0.2192,4.5615
0.2180,4.5868
0.2176,4.5965
0.2173,4.6022
0.2155,4.6401
0.2140,4.6736
0.2125,4.7056
0.2118,4.7223
0.2095,4.7735
0.2057,4.8619
0.2044,4.8920
0.2037,4.9080
0.2024,4.9406
0.2016,4.9604
0.2015,4.9624
0.1998,5.0055
0.1959,5.1038
0.1936,5.1663
0.1935,5.1671
0.1910,5.2350
0.1908,5.2413
0.1902,5.2563
0.1897,5.2706
0.1889,5.2948
0.1884,5.3078
0.1874,5.3359
0.1862,5.3711
0.1838,5.4420
0.1820,5.4949
0.1801,5.5514
0.1800,5.5554
0.1767,5.6590
0.1727,5.7916
0.1715,5.8315
