f1,f2
0.6534,1.5362
0.4942,2.0313
0.6842,1.4615
0.6028,1.6590
0.6283,1.5915
0.6344,1.5995
0.7762,1.2883
0.6693,1.4941
0.6465,1.5469
0.5104,1.9594
0.5141,1.9450
0.6636,1.5117
0.5895,1.6963
0.5864,1.7055
0.6293,1.5968
0.6355,1.5811
0.7262,1.4012
0.6213,1.6201
0.6228,1.6311
0.7576,1.3325
0.5499,1.8244
0.6038,1.6659
0.6093,1.6411
0.8034,1.2564
0.5081,2.0120
0.5756,1.7651
0.6439,1.5629
0.5778,1.7410
0.5122,1.9674
0.6030,1.6871
0.5051,1.9823
0.6295,1.5965
0.5026,2.0082
0.6567,1.5227
0.5276,1.8952
0.5102,1.9600
0.5119,1.9536
0.5940,1.6835
0.5403,1.8879
0.5337,1.8966
0.5738,1.7519
0.5439,1.8530
0.5281,1.8935
0.7038,1.4249
0.6082,1.6442
0.6568,1.5226
0.6838,1.4848
0.7407,1.3572
0.7131,1.4043
0.6614,1.5120
0.7680,1.3022
0.6680,1.4969
0.7499,1.3375
0.7377,1.3653
0.7224,1.4232
0.6942,1.4404
0.6255,1.6232
0.5285,1.9217
0.6582,1.5324
0.6169,1.6581
0.7378,1.3589
0.5401,1.8599
0.7586,1.3319
0.5833,1.7250
0.5709,1.7517
0.5106,1.9979
0.5703,1.7607
0.7828,1.2930
0.6957,1.4495
0.5899,1.7185
0.4892,2.0498
0.7739,1.3068
0.6625,1.5093
0.5839,1.7491
0.6227,1.6059
0.6477,1.5727
0.6096,1.6624
0.5126,1.9510
0.6996,1.4295
0.5408,1.8504
0.7771,1.2869
0.5040,2.0385
0.6519,1.5341
0.5658,1.7861
0.8098,1.2348
0.5468,1.8288
0.6777,1.4756
0.7264,1.3887
0.7180,1.3928
0.7233,1.3865
0.5393,1.8608
0.6826,1.4649
0.5787,1.7633
0.4829,2.0806
0.5021,2.0160
0.7675,1.3065
0.5459,1.8657
0.6047,1.6537
0.5404,1.8506
0.6875,1.5148
0.8151,1.2269
0.7768,1.2873
0.6149,1.6264
0.7566,1.3347
0.7352,1.3687
0.6669,1.4996
0.7156,1.3974
0.5271,1.9475
0.5362,1.8651
0.8064,1.2401
0.7887,1.2903
0.6286,1.6040
0.6202,1.6209
0.6727,1.4865
0.4762,2.1517
0.7614,1.3230
0.4759,2.1217
0.8278,1.2372
0.6279,1.5927
0.7199,1.3891
0.6383,1.5666
0.5774,1.7347
0.7837,1.2760
0.5331,1.8760
0.7026,1.4232
0.6447,1.5511
0.6393,1.5747
0.6619,1.5177
0.6430,1.5573
0.5714,1.7516
0.5741,1.7417
0.6889,1.4546
0.6897,1.4499
0.6488,1.5414
0.5699,1.7719
0.5413,1.8473
0.5592,1.7882
0.6731,1.4857
0.5005,2.0080
0.6758,1.4938
0.7666,1.3045
0.6098,1.6399
0.4807,2.0848
0.5404,1.8857
0.7092,1.4499
0.5671,1.7840
0.6274,1.5960
