x1,x2
1.0000,0.1575
0.3569,0.0000
0.8973,0.0649
1.0000,0.0626
0.9008,0.1926
0.6276,0.0485
0.2831,0.0830
0.7130,0.1286
0.6861,0.0452
0.2210,0.0000
0.3890,0.2351
0.1000,0.0754
0.8275,0.0551
1.0000,0.2670
0.8214,0.0079
0.5734,0.0000
0.9504,0.0000
0.6279,0.1582
0.6120,0.0126
0.6122,0.0248
0.5686,0.1200
0.1626,0.0619
0.1544,0.0000
0.5599,0.1383
1.0000,0.0000
0.3433,0.0000
0.4197,0.0000
0.9369,0.0000
0.2114,0.0141
0.8112,0.0981
0.5461,0.0000
0.2403,0.0136
0.2484,0.0128
0.2755,0.0321
0.4021,0.0000
0.2402,0.0000
0.7946,0.0000
